lambda_dot_xi,treatment,metric,mean,median,standard_deviation,minimum,maximum,mean_change_from_control,mean_percent_change_from_control,seed_improvement_count
0.011,weak,hard_long_xi_rmse,0.006842027022509733,0.006913368247187389,0.00016477792525181078,0.006614235434685259,0.0069984773856565504,-0.00033716619878411576,-4.696435774761765,2
0.011,weak,energy_rmse,0.018783127012247335,0.01722883218909951,0.0024812405089660065,0.016835763936219345,0.022284784911423144,-0.007536035942275383,-28.633266017224845,3
0.011,weak,union_violation_count,0.0,0.0,0.0,0.0,0.0,0.0,,0
0.011,weak,training_wall_seconds,1429.7313725836575,1264.265057083976,288.0572600530686,1190.0809832499945,1834.848077417002,300.49918261164567,26.610929557285612,0
0.011,weak,validation_selection_mse,0.000573678634050469,0.0005993639081410903,4.4741116178899296e-05,0.0005107575461847915,0.000610914447825525,-5.608327258274377e-05,-8.905472368529255,2
0.034,moderate,global_x_rmse,0.07496304457549614,0.07826386911796337,0.004897084894685749,0.06804000689527286,0.0785852577132522,-0.0007642622512421815,-1.0092294091361143,1
0.034,moderate,global_x_mae,0.01994712359682331,0.02034191236886204,0.0026378864590124334,0.016537133091609087,0.022962325329998798,-0.00020470034891854547,-1.0157906771600111,2
0.034,moderate,global_xi_rmse,0.003177477807196003,0.0032193091682535518,0.0001345034811339935,0.0029958624608934677,0.00331726179244099,-0.00032173340111123173,-9.194455034535409,3
0.034,moderate,global_xi_mae,0.0009315265144708927,0.0009229103173338492,5.9091637686407104e-05,0.0008638481328722044,0.0010078210932066244,-0.0001753765736915838,-15.843895962267041,3
0.034,moderate,global_dot_xi_rmse,0.0009098286771699496,0.0009269138763658753,2.7188390729520697e-05,0.0008714551395710071,0.0009311170155729662,-0.0002023084950105664,-18.190966013114142,3
0.034,moderate,global_dot_xi_mae,0.00028183780522079803,0.00028178348191426774,8.406902418560943e-06,0.000271568763731808,0.0002921611700163183,-8.267247626875089e-05,-22.680423699138164,3
0.034,moderate,during_dot_xi_rmse,0.0026075925233531704,0.002644168018961766,7.349636114903421e-05,0.0025050477432372424,0.002673561807860503,-0.0006594056843592798,-20.18383979527786,3
0.034,moderate,during_dot_xi_mae,0.0010383959578833828,0.0010411578084497475,4.14639217768876e-05,0.000986288665198556,0.0010877414000018443,-0.0005878398973778653,-36.14727196403078,3
0.034,moderate,during_xi_rmse,0.007915464172168951,0.007961735300844165,0.00023566068524550832,0.007606499681996477,0.008178157533666216,-0.0004297799401096758,-5.149998422183078,3
0.034,moderate,pre_xi_rmse,0.007250008341975779,0.007178743091711134,0.0005221469004977139,0.006649129359493918,0.007922152574722285,-0.0012945182776450534,-15.150263265286645,3
0.034,moderate,post_xi_rmse,0.006139606588849902,0.00583821564508344,0.0004671315224572219,0.005781194593520686,0.0067994095279455815,-0.00013752745875296544,-2.1909275428885433,2
0.034,moderate,post_xi_mae,0.001953283385105625,0.0018794506419224995,0.0001052387328001585,0.0018782875998614999,0.0021021119135328763,-0.00015120019140484357,-7.184669583193182,3
0.034,moderate,post_dot_xi_rmse,0.0015122013555876517,0.0015247476989337597,3.860697628475269e-05,0.0014599098193385032,0.0015519465484906925,-0.00015354947850661194,-9.218034015879873,3
0.034,moderate,hard_xi_rmse,0.004209277551701608,0.00427963866048812,0.00017170757939217419,0.0039728205083464545,0.004375373486270252,-0.0003942736999662322,-8.564555457558754,3
0.034,moderate,ordinary_xi_rmse,0.000982217010992067,0.0009180416451468507,9.853190200030861e-05,0.0009071881901364425,0.0011214211976929077,-0.00025248024074881023,-20.448757004425378,3
0.034,moderate,long_xi_rmse,0.005199909935054918,0.005250321786204292,0.000206827192623147,0.004925184039617439,0.005424223979343022,-0.0005028016300236806,-8.816886919244894,3
0.034,moderate,hard_long_xi_rmse,0.006582320171115409,0.006669191338839973,0.0002598351384091406,0.006229673496100541,0.006848095678405716,-0.0005968730501784399,-8.313929320192749,3
0.034,moderate,energy_rmse,0.02086789947643722,0.01687570702899059,0.007110162786012557,0.014871597945899965,0.030856393454421097,-0.0054512634780855,-20.712146079663786,2
0.034,moderate,union_violation_count,0.0,0.0,0.0,0.0,0.0,0.0,,0
0.034,moderate,training_wall_seconds,1649.6688880413228,1636.921770749963,34.69533927581796,1615.00852045801,1697.0763729159953,520.436698069311,46.08766050870459,0
0.034,moderate,validation_selection_mse,0.0005600841940034247,0.0005912138405223057,5.9864624498779595e-05,0.0004763367576356782,0.0006127019838522907,-6.967771262978806e-05,-11.064135810038744,3
0.068,upper_stress,global_x_rmse,0.08125529812810872,0.07521135801295081,0.012551130224358118,0.06982391577953351,0.09873062059184184,0.005527991301370397,7.29986517811636,1
0.068,upper_stress,global_x_mae,0.020773906117873806,0.019173901537476824,0.0030079680322473473,0.018160435611701355,0.024987381204443243,0.0006220821721319506,3.0869770091624726,1
0.068,upper_stress,global_xi_rmse,0.003323917453555545,0.003009571924184519,0.0004847182243967521,0.002953531878607566,0.0040086485578745504,-0.0001752937547516895,-5.009521984141363,2
0.068,upper_stress,global_xi_mae,0.001010711134947337,0.0009481940047214388,0.00014358455229102212,0.0008746571428323289,0.0012092822572882433,-9.619195321513944e-05,-8.690187446746013,3
0.068,upper_stress,global_dot_xi_rmse,0.0009034161055634131,0.0008290940707159481,0.00011858415437930266,0.0008103831182984481,0.001070771127675843,-0.00020872106661710282,-18.767564994511698,3
0.068,upper_stress,global_dot_xi_mae,0.00027611550409643377,0.00025617622286956714,4.0907728522853216e-05,0.00023905343011783745,0.0003331168593018967,-8.839477739311515e-05,-24.250283704452812,3
0.068,upper_stress,during_dot_xi_rmse,0.002617387474947745,0.002423670394022016,0.0003494178300349526,0.0023205526076200884,0.0031079394232011305,-0.0006496107327647054,-19.884024767174946,3
0.068,upper_stress,during_dot_xi_mae,0.0010385531570552674,0.0010094804408205497,0.00014697873382876384,0.000874847530289963,0.0012313315000552897,-0.0005876826982059806,-36.13760552042261,3
0.068,upper_stress,during_xi_rmse,0.008384020078574176,0.007720023947822345,0.0009921610462719514,0.007645547608919291,0.009786488678980892,3.877596629554836e-05,0.4646474779389065,1
0.068,upper_stress,pre_xi_rmse,0.008033573817185984,0.006888539332364249,0.001966188181720018,0.006411662666978407,0.010800519452215298,-0.000510952802434848,-5.979884260194646,2
0.068,upper_stress,post_xi_rmse,0.005919796754944221,0.0056897141708337345,0.000437681115637452,0.005537199983900138,0.006532476110098788,-0.00035733729265864655,-5.692682200965704,1
0.068,upper_stress,post_xi_mae,0.0021927440370742117,0.0021043108197030726,0.00022620440005846103,0.001970713917220717,0.0025032073742988453,8.826046056374312e-05,4.193924892019907,1
0.068,upper_stress,post_dot_xi_rmse,0.0014958231997709022,0.0014155926106971075,0.000126586026070315,0.001397344401983972,0.001674532586631627,-0.00016992763432336147,-10.201263649119408,3
0.068,upper_stress,hard_xi_rmse,0.0043605575291338836,0.003909455023669954,0.0006511135698359756,0.003890908653550307,0.0052813089101813905,-0.00024299372253395665,-5.278397247036648,2
0.068,upper_stress,ordinary_xi_rmse,0.0012229131475196796,0.0012656927347438427,0.00015107709965133528,0.0010202394184740165,0.0013828072893411793,-1.178410422119757e-05,-0.9544124443933488,1
0.068,upper_stress,long_xi_rmse,0.005392043650035743,0.004855790330993695,0.0007981093401644753,0.004800058653055734,0.006520281966057801,-0.00031066791504285544,-5.447722745531736,2
0.068,upper_stress,hard_long_xi_rmse,0.006773688177460082,0.006069084198557431,0.0010144006501687822,0.006043787347066539,0.008208192986756277,-0.0004055050438337669,-5.648337234203682,2
0.068,upper_stress,energy_rmse,0.018371975650681754,0.020428525421950082,0.004049085104984069,0.012715462702909045,0.021971938827186125,-0.007947187303840964,-30.195440932422624,3
0.068,upper_stress,union_violation_count,0.0,0.0,0.0,0.0,0.0,0.0,,0
0.068,upper_stress,training_wall_seconds,1091.2104744166718,1220.3237632079981,260.6265648897093,727.6778636249946,1325.6297964170226,-38.02171555534005,-3.36704141920382,2
0.068,upper_stress,validation_selection_mse,0.0006450168123199232,0.0005015531864695033,0.00020470268747303734,0.0004989909010849693,0.0009345063494052971,1.5254905686710443e-05,2.422329062147499,1
