metric,lambda_dot_xi,seed,shared,split,delta_split_minus_shared,relative_delta,row_type,sign_consistency
low_u_post_x_rmse,0.034,303,0.2720943487117898,0.2592195551826036,-0.01287479352918619,-0.047317386745226175,seed,
low_u_post_x_rmse,0.034,mean,0.25538598942991547,0.24370436349041022,-0.011681625939505271,-0.044735441313779385,aggregate,all_negative_improvement
global_xi_rmse,0.0,101,0.0035102824755444124,0.003641938391847192,0.00013165591630277937,0.03750578969641489,seed,
global_xi_rmse,0.0,202,0.003082422618115508,0.003157477177218516,7.5054559103008e-05,0.024349211124363567,seed,
global_xi_rmse,0.0,303,0.0039049285312617826,0.003328211047804102,-0.0005767174834576806,-0.14768963857869336,seed,
global_xi_rmse,0.0,mean,0.0034992112083072346,0.0033758755389566033,-0.00012333566935063107,-0.028611545919304968,aggregate,mixed
global_xi_rmse,0.034,101,0.00331726179244099,0.0034839375368245985,0.00016667574438360838,0.050244977578619406,seed,
global_xi_rmse,0.034,202,0.0029958624608934677,0.0029841356724697467,-1.1726788423720939e-05,-0.003914328036349043,seed,
global_xi_rmse,0.034,303,0.0032193091682535518,0.0036066940555145705,0.00038738488726101873,0.12033168205188935,seed,
global_xi_rmse,0.034,mean,0.003177477807196003,0.0033582557549363054,0.00018077794774030206,0.05555411053138657,aggregate,mixed
hard_xi_rmse,0.0,101,0.004627597839505922,0.0047718234345877535,0.00014422559508183146,0.03116640643458121,seed,
hard_xi_rmse,0.0,202,0.004033272036626878,0.004115089243579601,8.181720695272284e-05,0.020285566212674445,seed,
hard_xi_rmse,0.0,303,0.005149783878870722,0.004355547163119931,-0.0007942367157507905,-0.15422719369049637,seed,
hard_xi_rmse,0.0,mean,0.00460355125166784,0.0044141532804290945,-0.00018939797123874538,-0.03425840701441357,aggregate,mixed
hard_xi_rmse,0.034,101,0.004375373486270252,0.0045950390448071775,0.00021966555853692588,0.05020498460902313,seed,
hard_xi_rmse,0.034,202,0.0039728205083464545,0.0038591359301433374,-0.00011368457820311708,-0.028615583806083967,seed,
hard_xi_rmse,0.034,303,0.00427963866048812,0.004771144611751964,0.0004915059512638443,0.1148475350972236,seed,
hard_xi_rmse,0.034,mean,0.004209277551701608,0.004408439862234159,0.00019916231053255105,0.04547897863338759,aggregate,mixed
hard_long_xi_rmse,0.0,101,0.007205953086649276,0.0074370682204929475,0.00023111513384367188,0.03207280578496508,seed,
hard_long_xi_rmse,0.0,202,0.006290813978521787,0.006458521124822131,0.00016770714630034381,0.026659053482257247,seed,
hard_long_xi_rmse,0.0,303,0.008040812598710485,0.006617006386559485,-0.0014238062121510004,-0.17707242827414457,seed,
hard_long_xi_rmse,0.0,mean,0.007179193221293849,0.006837531910624854,-0.0003416613106689949,-0.03944685633564075,aggregate,mixed
hard_long_xi_rmse,0.034,101,0.006848095678405716,0.007151483239151596,0.00030338756074587987,0.044302471080034704,seed,
hard_long_xi_rmse,0.034,202,0.006229673496100541,0.006087483935246211,-0.00014218956085433002,-0.022824560700225056,seed,
hard_long_xi_rmse,0.034,303,0.006669191338839973,0.00738083211765029,0.000711640778810317,0.10670570728206134,seed,
hard_long_xi_rmse,0.034,mean,0.006582320171115409,0.006873266430682698,0.00029094625956728893,0.042727872553957,aggregate,mixed
during_dot_xi_rmse,0.0,101,0.0033346863908529185,0.0031808977243280613,-0.0001537886665248572,-0.04611787991419559,seed,
during_dot_xi_rmse,0.0,202,0.0027994193829198395,0.002842168226781833,4.274884386199331e-05,0.015270610799802914,seed,
during_dot_xi_rmse,0.0,303,0.003666888849364593,0.0030325567569814507,-0.0006343320923831424,-0.17298917923106966,seed,
during_dot_xi_rmse,0.0,mean,0.0032669982077124502,0.003018540902697115,-0.0002484573050153354,-0.06794548278182078,aggregate,mixed
during_dot_xi_rmse,0.034,101,0.002673561807860503,0.002737642094404076,6.408028654357294e-05,0.023968133579396353,seed,
during_dot_xi_rmse,0.034,202,0.0025050477432372424,0.002493149179844148,-1.1898563393094534e-05,-0.004749834978281958,seed,
during_dot_xi_rmse,0.034,303,0.002644168018961766,0.002785262815617857,0.00014109479665609095,0.05336075304000232,seed,
during_dot_xi_rmse,0.034,mean,0.0026075925233531704,0.0026720180299553598,6.442550660218978e-05,0.024193017213705575,aggregate,mixed
post_xi_rmse,0.0,101,0.0069224772476454526,0.007159016498157172,0.00023653925051171903,0.034169740405022395,seed,
post_xi_rmse,0.0,202,0.005492867522249977,0.0065611380763520855,0.0010682705541021085,0.19448321842368513,seed,
post_xi_rmse,0.0,303,0.006416057372913173,0.005848551460566058,-0.0005675059123471148,-0.08845087868805046,seed,
post_xi_rmse,0.0,mean,0.006277134047602867,0.006522902011691772,0.00024576796408890423,0.04673402671355235,aggregate,mixed
post_xi_rmse,0.034,101,0.0067994095279455815,0.007104042059800763,0.0003046325318551814,0.044802792154692454,seed,
post_xi_rmse,0.034,202,0.005781194593520686,0.005892082033848396,0.00011088744032771054,0.019180714043424245,seed,
post_xi_rmse,0.034,303,0.00583821564508344,0.006433176059187043,0.0005949604141036033,0.10190792020583202,seed,
post_xi_rmse,0.034,mean,0.006139606588849902,0.006476433384278734,0.0003368267954288317,0.05529714213464957,aggregate,all_positive_degradation
low_u_post_e_perp_rmse,0.0,101,0.0440053437066039,0.04386946330260672,-0.00013588040399718088,-0.0030878159912381105,seed,
low_u_post_e_perp_rmse,0.0,202,0.038780670913803675,0.0425382031205694,0.0037575322067657235,0.09689188243074617,seed,
low_u_post_e_perp_rmse,0.0,303,0.03886698066519201,0.04219885670286817,0.0033318760376761652,0.08572510600649985,seed,
low_u_post_e_perp_rmse,0.0,mean,0.04055099842853319,0.04286884104201477,0.0023178426134815694,0.05984305748200264,aggregate,mixed
low_u_post_e_perp_rmse,0.034,101,0.04100392915617916,0.04569164152920748,0.00468771237302832,0.11432349215055398,seed,
low_u_post_e_perp_rmse,0.034,202,0.03825580168871918,0.03863378354411381,0.0003779818553946296,0.009880379934792698,seed,
low_u_post_e_perp_rmse,0.034,303,0.034290397216069614,0.040166124007812797,0.005875726791743183,0.17135196057132937,seed,
low_u_post_e_perp_rmse,0.034,mean,0.03785004268698932,0.04149718302704469,0.0036471403400553776,0.09851861088555869,aggregate,all_positive_degradation
low_u_post_e_parallel_rmse,0.0,101,0.11538305159242022,0.11682310249449282,0.0014400509020725955,0.01248061029933096,seed,
low_u_post_e_parallel_rmse,0.0,202,0.09003298171949699,0.1083741718994526,0.018341190179955613,0.20371634738365837,seed,
low_u_post_e_parallel_rmse,0.0,303,0.10329456032134242,0.0965949146995037,-0.0066996456218387235,-0.06485961701174367,seed,
low_u_post_e_parallel_rmse,0.0,mean,0.10290353121108654,0.10726406303114971,0.004360531820063161,0.05044578022374855,aggregate,mixed
low_u_post_e_parallel_rmse,0.034,101,0.1152379176657033,0.11570338496144805,0.0004654672957447592,0.0040391852367121514,seed,
